title,company,salary_updated,environment,location_updated
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Cloud Engineer - HSS Orthopedic Data Innovation Lab,Hospital for Special Surgery,Full-time,Hybrid,"New York, NY"
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Data Scientist,Liberty Personnel Services,85000 ,Hybrid,"Cherry Hill, NJ"
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist I - AI & Risk Modeling,Caterpillar,Full-time,Hybrid,"Chicago, IL"
Data Scientist,Measures for Justice,101116 ,Hybrid,"Rochester, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
AI Model Training: Seeking STEM topic experts for AI Projects (US),Appen,41600 - 135200,Remote,Remote
Senior Data Scientist - E-commerce Product Analytics,TikTok,158000 - 295000 ,In-Person,"Seattle, WA"
Health Data Scientist,University of Minnesota,Full-time,In-Person,"Minneapolis, MN"
"Staff Data Scientist, New Initiatives",Dropbox,,Remote,Remote
Data Scientist,"Aurora Technical Systems, LLC",83200 - 104000,Remote,Remote
Senior Data Scientist,The College Board,Full-time,Remote,Remote
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
Data Science Mentors,Chegg,Part-time,Remote,Remote
DATA SCIENTIST I,Frontier Communications,,Remote,Remote
Sr Data Engineer - NLP,Peraton,112000 - 179000 ,In-Person,"Huntsville, AL"
Marketing Data Scientist,Sephora,153088 - 169000 ,Remote,"San Francisco, CA"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
"Senior Systems Engineer, Systems Integration Data Analyst",Raytheon,Full-time,In-Person,"Huntsville, AL"
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote
Senior Statistical Programming Manager - Remote,Penfield Search Partners,Full-time,Remote,Remote
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Sr Operations Data Analyst,Hertz,78000 ,In-Person,"Estero, FL"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Senior Statistical Programmer - FSP,PHASTAR,Full-time,Remote,Remote
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Senior Vice President / Senior Data Architect/Manager - Rutherford NJ - Hybrid,Citi,170880 - 256320 ,In-Person,"Rutherford, NJ"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Principal Statistical Programmer,Penfield Search Partners,Full-time,Hybrid,"Florham Park, NJ"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Sr Data Engineer - NLP,Peraton,112000 - 179000 ,In-Person,"Huntsville, AL"
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Statistician 1 - Alzheimer's Disease - Full-time,Rush University Medical Center,Full-time,In-Person,"Chicago, IL"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Distinguished Engineer (Director) - Generative AI,Capital One,Full-time,Hybrid,"New York, NY"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX"
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Senior Manager - Statistical Programming,"Yoh, A Day & Zimmermann Company",Contract,In-Person,"Parsippany, NJ"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Manager of Data Science (Boston or NYC/Hybrid),Daley and Associates,130000 ,In-Person,"Boston, MA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Senior Statistical Programming Manager - Remote,Penfield Search Partners,Full-time,Remote,Remote
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
Data Scientist,Assetario,,Remote,Remote
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA"
Data Scientist,VitalCORE,,Remote,Remote
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC"
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ"
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA"
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA"
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA"
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO"
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States
"Director, Statistical Programming",Firma Clinical Research,Full-time,Remote,Remote
Data Scientist,Pinterest,,Remote,Remote
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Statistical Programmer,EPM Scientific,Contract,Remote,Remote
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX"
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
"Senior Manager, Statistical Programming",Bristol Myers Squibb,,In-Person,New Jersey
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Software Engineer Lead - AI/Analytics - Enterprise Data Management Team,PNC Financial Services Group,,In-Person,"Pittsburgh, PA"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"Senior Manager, Statistical Programming",Takeda Pharmaceutical,Full-time,Remote,"Lexington, MA"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
"Senior Systems Engineer, Systems Integration Data Analyst",Raytheon,Full-time,In-Person,"Huntsville, AL"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Statistical Programmer,EPM Scientific,Contract,Remote,Remote
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Manufacturing Life Science - IT Agile Project Manager - Data Science / Data Lake,NTT DATA,,In-Person,"Pittsburgh, PA"
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
"Principal Software Engineer, Machine Learning Engineering",Experis,Full-time,In-Person,"Richmond, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
Senior Predictive Modeler,Sitewise Analytics,90000,In-Person,"Dallas, TX"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA"
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA"
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States
Data Scientist,BPGbio,,In-Person,"Framingham, MA"
Strategic Customers - Data Scientist,Oracle,,In-Person,United States
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC"
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA"
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI"
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO"
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA"
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC"
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO"
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote
"Director, Data Product Manager – Clinical Ops & Real-World Evidence",Bristol Myers Squibb,,Hybrid,"Princeton, NJ"
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA"
Data Scientist,CPower,Full-time,Remote,Remote
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY"
Data Scientist,Fulcrum Analytics,100000 - 130000 ,Remote,Remote
Data Scientist,Procter & Gamble,"Contract
+1",In-Person,"Cincinnati, OH"
Data Scientist II,Microsoft,94300 - 182600 ,In-Person,"Redmond, WA"
Data Scientist,Carbon Direct,135000 - 165000 ,Remote,"San Francisco, CA"
