title,company,salary_updated,environment,location_updated,salary_min,salary_max
AWS Machine Learning Engineer,"CGI Group, Inc.",Full-time,In-Person,"Nashville, TN",0,0
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
"Sr. Director, Product Manager – Clinical Data Ecosystem",Bristol Myers Squibb,,Hybrid,"Princeton, NJ",0,0
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote,156000,166400
"Sr. Director, Product Manager – Clinical Data Ecosystem",Bristol Myers Squibb,,Hybrid,"Princeton, NJ",0,0
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Cloud Engineer - HSS Orthopedic Data Innovation Lab,Hospital for Special Surgery,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote,156000,166400
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Data Scientist,Liberty Personnel Services,85000 ,Hybrid,"Cherry Hill, NJ",85000,85000
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist I - AI & Risk Modeling,Caterpillar,Full-time,Hybrid,"Chicago, IL",0,0
Data Scientist,Measures for Justice,101116 ,Hybrid,"Rochester, NY",101116,101116
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
AI Model Training: Seeking STEM topic experts for AI Projects (US),Appen,41600 - 135200,Remote,Remote,41600,135200
Senior Data Scientist - E-commerce Product Analytics,TikTok,158000 - 295000 ,In-Person,"Seattle, WA",158000,295000
Health Data Scientist,University of Minnesota,Full-time,In-Person,"Minneapolis, MN",0,0
"Staff Data Scientist, New Initiatives",Dropbox,,Remote,Remote,0,0
Data Scientist,"Aurora Technical Systems, LLC",83200 - 104000,Remote,Remote,83200,104000
Senior Data Scientist,The College Board,Full-time,Remote,Remote,0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
Data Science Mentors,Chegg,Part-time,Remote,Remote,0,0
DATA SCIENTIST I,Frontier Communications,,Remote,Remote,0,0
Sr Data Engineer - NLP,Peraton,112000 - 179000 ,In-Person,"Huntsville, AL",112000,179000
Marketing Data Scientist,Sephora,153088 - 169000 ,Remote,"San Francisco, CA",153088,169000
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
"Senior Systems Engineer, Systems Integration Data Analyst",Raytheon,Full-time,In-Person,"Huntsville, AL",0,0
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote,156000,166400
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote,156000,166400
Senior Statistical Programming Manager - Remote,Penfield Search Partners,Full-time,Remote,Remote,0,0
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Sr Operations Data Analyst,Hertz,78000 ,In-Person,"Estero, FL",78000,78000
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
Senior Statistical Programmer - FSP,PHASTAR,Full-time,Remote,Remote,0,0
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC",73100,166000
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Senior Vice President / Senior Data Architect/Manager - Rutherford NJ - Hybrid,Citi,170880 - 256320 ,In-Person,"Rutherford, NJ",170880,256320
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC",73100,166000
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
Principal Statistical Programmer,Penfield Search Partners,Full-time,Hybrid,"Florham Park, NJ",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Sr Data Engineer - NLP,Peraton,112000 - 179000 ,In-Person,"Huntsville, AL",112000,179000
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC",73100,166000
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Statistician 1 - Alzheimer's Disease - Full-time,Rush University Medical Center,Full-time,In-Person,"Chicago, IL",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC",73100,166000
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Distinguished Engineer (Director) - Generative AI,Capital One,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States,110000,200000
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX",0,0
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA",135200,156000
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Senior Manager - Statistical Programming,"Yoh, A Day & Zimmermann Company",Contract,In-Person,"Parsippany, NJ",0,0
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Research Data Scientist,Booz Allen Hamilton,73100 - 166000 ,Hybrid,"Washington, DC",73100,166000
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Manager of Data Science (Boston or NYC/Hybrid),Daley and Associates,130000 ,In-Person,"Boston, MA",130000,130000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Senior Statistical Programming Manager - Remote,Penfield Search Partners,Full-time,Remote,Remote,0,0
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Data Scientist-Onsite,Aries Solutions,166400 - 187200,Hybrid,"Charlotte, NC",166400,187200
Data Scientist,AmeriTEK Global,Full-time,In-Person,"Piscataway, NJ",0,0
Remote - Data Scientist,Green Dot Corporation,78800 - 120200 ,Remote,Remote,78800,120200
Data Scientist,Management Science Solutions,104082 - 210832 ,In-Person,"Chantilly, VA",104082,210832
Data Scientist,Blizzard Entertainment,71300 - 131906 ,Hybrid,"Irvine, CA",71300,131906
Junior Data Scientist,SoundThinking,80000 - 90000 ,In-Person,"Fremont, CA",80000,90000
Data Scientist,Denver Health,69900 - 104900 ,In-Person,"Denver, CO",69900,104900
Data Scientist,Marlabs Innovations Private Limited,,In-Person,United States,0,0
"Director, Statistical Programming",Firma Clinical Research,Full-time,Remote,Remote,0,0
Data Scientist,Pinterest,,Remote,Remote,0,0
Data Scientist,REVOLVE,90000 - 120000 ,In-Person,"Cerritos, CA",90000,120000
Data Scientist,Cognize tech solutions,65000 - 80000 ,Remote,Remote,65000,80000
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC",71000,73000
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA",97000,198000
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI",0,0
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO",0,0
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD",77745,183500
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA",0,0
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC",90000,150000
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO",0,0
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote,0,0
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote,114400,135200
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA",0,0
Data Scientist,CPower,Full-time,Remote,Remote,0,0
Statistical Programmer,EPM Scientific,Contract,Remote,Remote,0,0
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC",71000,73000
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA",97000,198000
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI",0,0
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO",0,0
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA",0,0
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC",90000,150000
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO",0,0
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote,0,0
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote,114400,135200
Data Scientist,Synectics for Management Decisions Inc,Full-time,In-Person,"Arlington, VA",0,0
Data Scientist,CPower,Full-time,Remote,Remote,0,0
Sr. Data Scientist,1010data,130000 - 145000 ,Remote,"New York, NY",130000,145000
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX",0,0
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA",135200,156000
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States,110000,200000
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC",71000,73000
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA",97000,198000
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI",0,0
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO",0,0
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD",77745,183500
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA",0,0
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC",90000,150000
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO",0,0
Data Scientist,Ivy Tech Solutions inc,"Contract
+1",Remote,Remote,0,0
Data Scientist,NLB Technology Services,114400 - 135200,Remote,Remote,114400,135200
"Senior Manager, Statistical Programming",Bristol Myers Squibb,,In-Person,New Jersey,0,0
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA",135200,156000
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States,110000,200000
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC",71000,73000
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA",97000,198000
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI",0,0
Software Engineer Lead - AI/Analytics - Enterprise Data Management Team,PNC Financial Services Group,,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO",0,0
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD",77745,183500
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC",90000,150000
"Senior Manager, Statistical Programming",Takeda Pharmaceutical,Full-time,Remote,"Lexington, MA",0,0
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA",0,0
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA",135200,156000
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States,110000,200000
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
Strategic Customers - Data Scientist,Oracle,,In-Person,United States,0,0
2024 Early Talent Rotational Program: Technology - Data & AI (CDAIO),TIAA,71000 - 73000 ,In-Person,"Charlotte, NC",71000,73000
Data Scientist,Keystone Strategy,97000 - 198000 ,In-Person,"Boston, MA",97000,198000
Data Scientist Modeling,Optimal Inc.,Contract,In-Person,"Dearborn, MI",0,0
Data Scientist,Clayco,Full-time,In-Person,"Overland, MO",0,0
Data Scientist,National Security Agency,77745 - 183500 ,In-Person,"Fort Meade, MD",77745,183500
Data Scientist,"Stillwater Human Capital, LLC.",,In-Person,"McLean, VA",0,0
"NLP Data Scientist, Magnifi",TIFIN,,In-Person,"Boulder, CO",0,0
"Senior Systems Engineer, Systems Integration Data Analyst",Raytheon,Full-time,In-Person,"Huntsville, AL",0,0
Data Scientist,DigitCompass,90000 - 150000 ,In-Person,"Washington, DC",90000,150000
Data Scientist,NutaNXT Technologies,,In-Person,"Santa Clara, CA",0,0
Python Data Scientist,konnectingtree.Inc,110000 - 115000 ,Remote,Remote,110000,115000
Data Scientist,Agile Tech Labs,135200 - 156000,In-Person,"Atlanta, GA",135200,156000
Data Scientist,Avenue Code,110000 - 200000 ,Remote,United States,110000,200000
Data Scientist,BPGbio,,In-Person,"Framingham, MA",0,0
